Name,CAPACITY,CHEMISTRY_TYPE,CONT_DISCHARGE_RATE,COST,Classification,DISCHARGE_PLUG,LENGTH,MODEL,NUMBER_OF_CELLS,PACK_RESISTANCE,PEAK_DISCHARGE_RATE,THICKNESS,VOLTAGE,WEIGHT,WIDTH
Turnigynano-tech2000mAh2040C,2000,LiFePo,20,14.73,Battery,JR,90.0,Turnigy nano-tech 2000mAh 20~40C,2S1P,nan,40,16,6.6,0.109,42
TurnigyGraphene4000mAh4S75C,4000,LiPo,75,70.83,Battery,XT90,145.0,TurnigyGraphene4000mAh4S75C,4S1P,12.0,150,36,14.8,0.526,51
TurnigyGraphene1500mAh3S75C,1500,LiPo,75,22.62,Battery,XT60,90.0,TurnigyGraphene1500mAh3S75C,3S1P,13.0,150,27,11.1,0.162,35
TurnigyReceiver1500mAh6.0V,1500,NiMH,10,7.72,Battery,JR,84.0,Turnigy Receiver 1500mAh 6.0V,5S1P,nan,15,17,6.0,0.12,32
Turnigynanotech3000mAh_2040C,3000,LiFePo,20,21.13,Battery,JR,132.0,2040C,2S1P,,40,15,6.6,0.167,44
TurnigyGraphene1600mAh4S75CSquare,1600,LiPo,75,24.99,Battery,XT60,67.0,TurnigyGraphene1600mAh4S75CSquare,4S1P,14.0,150,36,14.8,0.212,49
TurnigyGraphene1400mAh4S75C,1400,LiPo,75,27.87,Battery,XT60,90.0,TurnigyGraphene1400mAh4S75C,4S1P,17.0,150,32,14.8,0.196,35
TurnigyGraphene1000mAh6S75C,1000,LiPo,75,26.79,Battery,XT60,75.0,TurnigyGraphene1000mAh6S75C,6S1P,19.0,150,43,22.2,0.212,35
TurnigyGraphene5000mAh4S75C,5000,LiPo,75,81.7,Battery,XT90,145.0,TurnigyGraphene5000mAh4S75C,4S1P,11.0,150,42,14.8,0.63,51
TurnigyGraphene1500mAh4S75C,1500,LiPo,75,26.49,Battery,XT60,91.0,TurnigyGraphene1500mAh4S75C,4S1P,17.0,150,33,14.8,0.202,35
TurnigyGraphene4000mAh6S75C,4000,LiPo,75,104.34,Battery,XT90,145.0,TurnigyGraphene4000mAh6S75C,6S1P,16.0,150,51,22.2,0.76,51
TurnigyGraphene5000mAh3S75C,5000,LiPo,75,65.48,Battery,XT90,144.0,TurnigyGraphene5000mAh3S75C,3S1P,9.0,150,32,11.1,0.49,51
Turnigynano-tech3000mAh2040C,3000,LiFePo,20,21.13,Battery,JR,132.0,Turnigy nano-tech 3000mAh 20~40C,2S1P,nan,40,15,6.6,0.167,44
TurnigyGraphene3000mAh3S75C,3000,LiPo,75,42.54,Battery,XT90,137.0,TurnigyGraphene3000mAh3S75C,3S1P,13.0,150,26,11.1,0.32,45
TurnigyGraphene2200mAh3S75C,2200,LiPo,75,32.73,Battery,XT60,106.0,TurnigyGraphene2200mAh3S75C,3S1P,10.0,150,31,11.1,0.23,35
TurnigyGraphene1300mAh3S75C,1300,LiPo,75,16.96,Battery,XT60,74.0,TurnigyGraphene1300mAh3S75C,3S1P,13.0,150,27,11.1,0.137,35
TurnigyGraphene3000mAh6S75C,3000,LiPo,75,82.57,Battery,XT90,137.0,TurnigyGraphene3000mAh6S75C,6S1P,18.0,150,47,22.2,0.598,45
TurnigyGraphene1000mAh2S75C,1000,LiPo,75,9.54,Battery,XT60,74.0,Turnigy Graphene 1000mAh 2S 75C,2S1P,11.0,150,17,7.4,0.084,35
TurnigyGraphene1000mAh3S75C,1000,LiPo,75,16.88,Battery,XT60,74.0,TurnigyGraphene1000mAh3S75C,3S1P,13.0,150,24,11.1,0.116,35
Turnigy_nano_tech_2000mAh_20_40C,2000,LiFePo,20,14.73,Battery,JR,90.0,40C,2S1P,,40,16,6.6,0.109,42
TurnigyGraphene4000mAh3S5C,4000,LiPo,75,55.05,Battery,XT90,145.0,TurnigyGraphene4000mAh3S5C,3S1P,10.0,150,28,11.1,0.41200000000000003,51
TurnigyGraphene6000mAh3S75C,6000,LiPo,75,75.16,Battery,XT90,168.0,TurnigyGraphene6000mAh3S75C,3S1P,7.0,150,27,11.1,0.63,69
TurnigyGraphene1600mAh4S75C,1600,LiPo,75,30.0,Battery,XT60,95.0,TurnigyGraphene1600mAh4S75C,4S1P,14.0,150,35,14.8,0.212,35
TurnigyGraphene3000mAh4S75C,3000,LiPo,75,56.77,Battery,XT90,137.0,TurnigyGraphene3000mAh4S75C,4S1P,15.0,150,45,14.8,0.405,34
TurnigyGraphene1300mAh4S75C,1300,LiPo,75,23.99,Battery,XT60,75.0,TurnigyGraphene1300mAh4S75C,4S1P,12.0,150,36,14.8,0.17300000000000001,35
TurnigyReceiver1500mAh6_0V,1500,NiMH,10,7.72,Battery,JR,84.0,TurnigyReceiver1500mAh6.0V,5S1P,,15,17,6.0,0.12,32
TurnigyGraphene1000mAh4S75C,1000,LiPo,75,23.65,Battery,XT60,75.0,TurnigyGraphene1000mAh4S75C,4S1P,17.0,150,30,14.8,0.148,35
TurnigyReceiver1500mAh4_8V,1500,NiMH,10,6.24,Battery,JR,67.5,TurnigyReceiver1500mAh4.8V,4S1P,,15,17,4.8,0.095,32
TurnigyGraphene6000mAh4S75C,6000,LiPo,75,99.8,Battery,XT90,168.0,TurnigyGraphene6000mAh4S75C,4S1P,9.0,150,34,14.8,0.8,69
TurnigyGraphene1200mAh6S75C,1200,LiPo,75,27.99,Battery,XT60,75.0,TurnigyGraphene1200mAh6S75C,6S1P,19.0,150,45,22.2,0.232,35
TurnigyGraphene5000mAh6S75C,5000,LiPo,75,116.32,Battery,XT90,145.0,TurnigyGraphene5000mAh6S75C,6S1P,15.0,150,61,22.2,0.92,51
TurnigyGraphene6000mAh6S75C,6000,LiPo,75,129.99,Battery,XT90,170.0,TurnigyGraphene6000mAh6S75C,6S1P,13.0,150,48,22.2,1.1400000000000001,69
TurnigyGraphene2200mAh4S75C,2200,LiPo,75,42.63,Battery,XT60,106.0,TurnigyGraphene2200mAh4S75C,4S1P,13.0,150,41,14.8,0.295,35
TurnigyGraphene1400mAh3S75C,1400,LiPo,75,24.0,Battery,XT60,90.0,TurnigyGraphene1400mAh3S75C,3S1P,13.0,150,25,11.1,0.156,35
