Name,AoA_CL_Max,AoA_L0,CD0_Min,CD_Min,CL_LD_Max,CL_Max,CL_Max_CD0_Min,CM0,Classification,LASTTWO,LD_Max,Model,dCl_dAoA_Slope,para_AILERON_BIAS_[]AssignedValue,para_AILERON_BIAS_[]Maximum,para_AILERON_BIAS_[]Minimum,para_CHORD_[]AssignedValue,para_CHORD_[]Maximum,para_CHORD_[]Minimum,para_CONTROL_CHANNEL_AILERONS_[]AssignedValue,para_CONTROL_CHANNEL_FLAPS_[]AssignedValue,para_DIAMETER_[]AssignedValue,para_DIAMETER_[]Maximum,para_DIAMETER_[]Minimum,para_FLAP_BIAS_[]AssignedValue,para_FLAP_BIAS_[]Maximum,para_FLAP_BIAS_[]Minimum,para_OFFSET_[]AssignedValue,para_OFFSET_[]Maximum,para_OFFSET_[]Minimum,para_SERVO_LENGTH_[]AssignedValue,para_SERVO_LENGTH_[]Maximum,para_SERVO_LENGTH_[]Minimum,para_SERVO_WIDTH_[]AssignedValue,para_SERVO_WIDTH_[]Maximum,para_SERVO_WIDTH_[]Minimum,para_SPAN_[]AssignedValue,para_SPAN_[]Maximum,para_SPAN_[]Minimum,para_TUBE_OFFSET_[]AssignedValue,para_TUBE_OFFSET_[]Maximum,para_TUBE_OFFSET_[]Minimum
left_NACA_2506,15,-2.0,0.0073,0.0076,0.36,1.03,141,-0.048,Wing,06,24.2,NACA_2506,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2306,11,-1.8,0.0073,0.0075,0.33,1.04,142,-0.036,Wing,06,23.9,NACA_2306,0.104,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4212,16,-3.4,0.0092,0.01,0.4,1.71,186,-0.059,Wing,12,22.1,NACA_4212,0.102,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4509,13,-4.1,0.0093,0.0099,0.4,1.56,168,-0.106,Wing,09,22.0,NACA_4509,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4515,17,-4.1,0.0113,0.0116,0.43,1.62,143,-0.097,Wing,15,19.6,NACA_4515,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2421,16,-1.7,0.0127,0.0128,0.43,1.35,106,-0.036,Wing,21,17.9,NACA_2421,0.097,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6415,17,-5.7,0.012,0.0127,0.45,1.59,133,-0.125,Wing,15,19.2,NACA_6415,0.099,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4415,15,-3.8,0.0105,0.0108,0.42,1.57,150,-0.083,Wing,15,20.5,NACA_4415,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4306,10,-3.8,0.008,0.0094,0.38,1.2,150,-0.075,Wing,06,23.7,NACA_4306,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4512,17,-4.2,0.0095,0.0099,0.4,1.69,178,-0.105,Wing,12,21.7,NACA_4512,0.097,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4212,16,-3.4,0.0092,0.01,0.4,1.71,186,-0.059,Wing,12,22.1,NACA_4212,0.102,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6412,15,-5.7,0.0104,0.0117,0.42,1.67,160,-0.132,Wing,12,20.8,NACA_6412,0.101,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_0021,17,-0.1,0.012,0.012,0.44,1.38,115,-0.001,Wing,21,18.5,NACA_0021,0.094,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4415,15,-3.8,0.0105,0.0108,0.42,1.57,150,-0.083,Wing,15,20.5,NACA_4415,0.101,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2518,16,-2.0,0.0112,0.0113,0.42,1.48,132,-0.047,Wing,18,19.1,NACA_2518,0.096,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4321,15,-3.6,0.0134,0.0134,0.45,1.29,96,-0.057,Wing,21,17.4,NACA_4321,0.095,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6506,10,-6.3,0.0093,0.0122,0.42,1.29,139,-0.159,Wing,06,21.6,NACA_6506,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6612,17,-6.6,0.0114,0.0124,0.43,1.83,161,-0.186,Wing,12,19.8,NACA_6612,0.099,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6306,12,5.2,0.0092,0.0177,0.42,1.54,167,-0.109,Wing,06,21.6,NACA_6306,0.105,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2421,16,-1.7,0.0127,0.0128,0.43,1.35,106,-0.036,Wing,21,17.9,NACA_2421,0.097,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6509,15,-6.3,0.01,0.0119,0.43,1.71,171,-0.158,Wing,09,21.0,NACA_6509,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_0015,17,0.0,0.0093,0.0093,0.4,1.53,164,0.0,Wing,15,21.2,NACA_0015,0.1,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4318,14,-3.5,0.0119,0.0121,0.43,1.46,123,-0.065,Wing,18,19.0,NACA_4318,0.099,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2212,16,-1.8,0.0087,0.0088,0.4,1.6,184,-0.029,Wing,12,22.4,NACA_2212,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4321,15,-3.6,0.0134,0.0134,0.45,1.29,96,-0.057,Wing,21,17.4,NACA_4321,0.095,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4306,10,-3.8,0.008,0.0094,0.38,1.2,150,-0.075,Wing,06,23.7,NACA_4306,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4506,13,-4.3,0.0087,0.0098,0.4,1.15,132,-0.109,Wing,06,22.7,NACA_4506,0.104,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6406,9,-5.6,0.0086,0.0139,0.42,1.43,166,-0.129,Wing,06,22.6,NACA_6406,0.104,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_0015,17,0.0,0.0093,0.0093,0.4,1.53,164,0.0,Wing,15,21.2,NACA_0015,0.1,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_0025,16,0.0,0.0143,0.0143,0.47,1.2,84,-0.003,Wing,25,16.5,NACA_0025,0.089,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6521,19,-5.3,0.0154,0.0155,0.47,1.49,97,-0.129,Wing,21,16.0,NACA_6521,0.094,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4518,17,-3.9,0.0125,0.0126,0.43,1.54,123,-0.094,Wing,18,18.4,NACA_4518,0.096,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4312,16,-3.9,0.0095,0.01,0.4,1.63,172,-0.075,Wing,12,21.7,NACA_4312,0.1,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6509,15,-6.3,0.01,0.0119,0.43,1.71,171,-0.158,Wing,09,21.0,NACA_6509,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4409,15,-3.6,0.0086,0.0092,0.4,1.6,186,-0.086,Wing,09,22.9,NACA_4409,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4509,13,-4.1,0.0093,0.0099,0.4,1.56,168,-0.106,Wing,09,22.0,NACA_4509,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6512,17,-6.2,0.0106,0.0119,0.42,1.75,165,-0.159,Wing,12,20.6,NACA_6512,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_0009,14,0.0,0.0074,0.0074,0.36,1.27,172,-0.003,Wing,09,22.9,NACA_0009,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4521,19,-3.4,0.0138,0.0138,0.45,1.46,106,-0.082,Wing,21,17.2,NACA_4521,0.095,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_0006,13,-0.1,0.0065,0.0065,0.31,0.88,135,-0.002,Wing,06,23.8,NACA_0006,0.102,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2515,16,-2.0,0.0103,0.0104,0.41,1.53,148,-0.049,Wing,15,20.4,NACA_2515,0.099,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_0018,17,0.0,0.0108,0.0108,0.4,1.49,138,-0.002,Wing,18,19.8,NACA_0018,0.098,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4309,15,-3.6,0.0089,0.0094,0.39,1.6,180,-0.073,Wing,09,22.3,NACA_4309,0.103,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6315,13,-5.4,0.012,0.0125,0.45,1.55,129,-0.105,Wing,15,19.3,NACA_6315,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2406,13,-1.7,0.007,0.0074,0.32,1.01,144,-0.039,Wing,06,24.9,NACA_2406,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4406,10,-3.9,0.0076,0.0089,0.38,1.23,162,-0.087,Wing,06,24.2,NACA_4406,0.104,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4612,17,-4.6,0.0099,0.0105,0.41,1.76,178,-0.124,Wing,12,21.1,NACA_4612,0.098,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4421,19,-3.4,0.0132,0.0133,0.44,1.37,104,-0.071,Wing,21,17.7,NACA_4421,0.093,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4612,17,-4.6,0.0099,0.0105,0.41,1.76,178,-0.124,Wing,12,21.1,NACA_4612,0.098,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2521,16,-1.8,0.0126,0.0126,0.44,1.38,109,-0.043,Wing,21,17.7,NACA_2521,0.095,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2418,15,-1.9,0.0112,0.0113,0.42,1.43,128,-0.037,Wing,18,19.4,NACA_2418,0.098,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_0018,17,0.0,0.0108,0.0108,0.4,1.49,138,-0.002,Wing,18,19.8,NACA_0018,0.098,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2712,17,-2.6,0.009,0.0093,0.38,1.68,187,-0.075,Wing,12,22.0,NACA_2712,0.1,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2512,17,-2.1,0.0088,0.0091,0.39,1.62,184,-0.054,Wing,12,22.3,NACA_2512,0.102,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2509,13,-2.0,0.0081,0.0083,0.37,1.38,170,-0.052,Wing,09,22.9,NACA_2509,0.102,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4412,16,-3.9,0.0092,0.0096,0.4,1.65,179,-0.089,Wing,12,22.1,NACA_4412,0.1,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4712,18,-5.0,0.0104,0.011,0.41,1.82,175,-0.143,Wing,12,20.7,NACA_4712,0.097,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6309,13,-5.4,0.0101,0.0116,0.42,1.67,165,-0.11,Wing,09,21.1,NACA_6309,0.104,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_2312,16,-1.9,0.0089,0.009,0.39,1.61,181,-0.038,Wing,12,22.1,NACA_2312,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6409,15,-5.9,0.0094,0.0113,0.42,1.68,179,-0.133,Wing,09,21.6,NACA_6409,0.101,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4412,16,-3.9,0.0092,0.0096,0.4,1.65,179,-0.089,Wing,12,22.1,NACA_4412,0.1,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6418,18,-5.7,0.0132,0.0137,0.45,1.51,114,-0.118,Wing,18,18.1,NACA_6418,0.099,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6515,18,-6.0,0.0127,0.0134,0.44,1.67,132,-0.15,Wing,15,18.7,NACA_6515,0.099,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2521,16,-1.8,0.0126,0.0126,0.44,1.38,109,-0.043,Wing,21,17.7,NACA_2521,0.095,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6421,18,-5.2,0.0146,0.0148,0.46,1.41,97,-0.11,Wing,21,16.9,NACA_6421,0.096,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_2512,17,-2.1,0.0088,0.0091,0.39,1.62,184,-0.054,Wing,12,22.3,NACA_2512,0.102,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_4315,15,-3.6,0.0107,0.0108,0.42,1.56,146,-0.068,Wing,15,20.2,NACA_4315,0.103,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_6518,18,-5.7,0.0141,0.0142,0.46,1.61,114,-0.139,Wing,18,17.4,NACA_6518,0.095,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4418,17,-3.7,0.0116,0.012,0.43,1.47,127,-0.078,Wing,18,19.2,NACA_4418,0.096,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
left_NACA_4518,17,-3.9,0.0125,0.0126,0.43,1.54,123,-0.094,Wing,18,18.4,NACA_4518,0.096,-0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
right_NACA_6321,17,-5.2,0.0144,0.0145,0.47,1.37,95,-0.09,Wing,21,17.0,NACA_6321,0.096,0.5,1,-1,304.8,609.6,25.4,7,6,10.16,12.852,7.315,0.5,1,0,50,762,0,25.7,70,23.1,32.8,65,28,1016,1524,76.2,50,10000,0
